"BehaviorSpace results (NetLogo 6.2.0)"
"Flocking.nlogo"
"Baseline"
"05/02/2021 07:27:38:632 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"6","3","1.5","3","1","300","5","0","0","0","2.102799455829151","101.16521466268946"
"8","3","1.5","3","1","300","5","0","0","0","2.1168142021967125","103.68215703701567"
"4","3","1.5","3","1","300","5","0","0","0","2.050607548963311","107.57483200825992"
"5","3","1.5","3","1","300","5","0","0","0","1.9806845460380578","102.55200029629587"
"7","3","1.5","3","1","300","5","0","0","0","2.0261106891809626","103.77299511457772"
"3","3","1.5","3","1","300","5","0","0","0","1.9312645034377474","104.88993243596546"
"2","3","1.5","3","1","300","5","0","0","0","2.0642628925065165","110.38588739512367"
"1","3","1.5","3","1","300","5","0","0","0","2.056121292385427","100.52280306149456"
"6","3","1.5","3","1","300","5","1","246","1.6466666666666667","2.019914677963123","101.1606667060726"
"8","3","1.5","3","1","300","5","1","236","1.6466666666666667","2.092651473167047","103.8365598923122"
"5","3","1.5","3","1","300","5","1","248","1.74","2.0133086198315566","102.2754646284917"
"4","3","1.5","3","1","300","5","1","250","1.6","1.9917791392206694","107.700484077216"
"2","3","1.5","3","1","300","5","1","242","1.6533333333333333","2.005318981927749","110.73856580143968"
"3","3","1.5","3","1","300","5","1","255","1.8533333333333333","1.9549414355520545","104.4202091003078"
"1","3","1.5","3","1","300","5","1","236","1.62","2.0129249712942263","100.2611463696471"
"7","3","1.5","3","1","300","5","1","241","1.6","2.134154262851992","103.48717973768619"
"8","3","1.5","3","1","300","5","2","239","1.6333333333333333","2.1018528419296163","103.93020384367561"
"7","3","1.5","3","1","300","5","2","246","1.6933333333333334","2.179159869174946","103.21863461501162"
"5","3","1.5","3","1","300","5","2","243","1.7866666666666666","2.000474167073016","102.43779988815646"
"2","3","1.5","3","1","300","5","2","258","1.84","2.0368039508059286","111.06002900841042"
"6","3","1.5","3","1","300","5","2","242","1.7333333333333334","2.04033289928075","101.06989115748263"
"1","3","1.5","3","1","300","5","2","245","1.6133333333333333","1.976732977397182","100.03008743191928"
"4","3","1.5","3","1","300","5","2","251","1.72","2.010247268149963","107.8049510470305"
"3","3","1.5","3","1","300","5","2","252","1.7133333333333334","2.0238131179235244","104.40035531018088"
"7","3","1.5","3","1","300","5","3","244","1.7333333333333334","2.0955794753513675","102.6679002402582"
"8","3","1.5","3","1","300","5","3","248","1.7133333333333334","2.0649694129061134","103.89680824748268"
"2","3","1.5","3","1","300","5","3","255","1.9533333333333334","2.0109245575949903","111.11105705589581"
"1","3","1.5","3","1","300","5","3","258","1.68","1.9763956054356988","100.10765983266819"
"5","3","1.5","3","1","300","5","3","255","1.8466666666666667","1.9809357159765784","102.36002857370752"
"4","3","1.5","3","1","300","5","3","251","1.8","2.001857130546425","107.89922629438347"
"6","3","1.5","3","1","300","5","3","242","1.7866666666666666","2.0351784146427336","101.05916651519321"
"3","3","1.5","3","1","300","5","3","249","1.72","2.0090342171179363","104.65065301283036"
"8","3","1.5","3","1","300","5","4","247","1.7933333333333332","2.0849317715133284","104.05587054649486"
"7","3","1.5","3","1","300","5","4","243","1.72","2.011680447428633","102.0595070392313"
"4","3","1.5","3","1","300","5","4","246","1.8866666666666667","1.9645002471453248","107.68138535379298"
"5","3","1.5","3","1","300","5","4","240","1.8666666666666667","1.9003988199839916","102.41638241845945"
"2","3","1.5","3","1","300","5","4","261","2.066666666666667","1.8459965137197862","111.65882304385995"
"1","3","1.5","3","1","300","5","4","259","1.76","2.0198166109607807","99.80957873214935"
"6","3","1.5","3","1","300","5","4","242","1.84","1.9544122721904755","101.12054760283893"
"3","3","1.5","3","1","300","5","4","242","1.7733333333333334","1.957436871522823","104.63244667990814"
"8","3","1.5","3","1","300","5","5","246","1.86","2.028346732771872","104.76366694753088"
"7","3","1.5","3","1","300","5","5","251","1.8066666666666666","1.9826728949307642","101.4645092640256"
"4","3","1.5","3","1","300","5","5","265","2.013333333333333","1.8585110088891919","107.73906109255454"
"2","3","1.5","3","1","300","5","5","266","2.066666666666667","1.8096018159258274","111.82490193021951"
"5","3","1.5","3","1","300","5","5","256","1.9666666666666666","1.914550786175619","102.38157667909482"
"3","3","1.5","3","1","300","5","5","252","1.9866666666666666","1.9280608070922096","105.2513812451745"
"1","3","1.5","3","1","300","5","5","255","1.7933333333333332","1.962868948422871","99.51633519195816"
"7","3","1.5","3","1","300","5","6","247","1.88","1.9575178730816567","101.21885068267626"
"8","3","1.5","3","1","300","5","6","249","1.96","2.01042211287503","105.03443880333525"
"4","3","1.5","3","1","300","5","6","267","2.046666666666667","1.8305704991226939","107.56911788941726"
"6","3","1.5","3","1","300","5","5","255","2.033333333333333","1.9691434922958313","100.85156106145908"
"2","3","1.5","3","1","300","5","6","274","2.2","1.8802554520332777","111.99391025755537"
"3","3","1.5","3","1","300","5","6","251","1.92","2.008650296284366","105.21004574790531"
"5","3","1.5","3","1","300","5","6","258","2","1.9561951458108358","102.63839604335264"
"6","3","1.5","3","1","300","5","6","256","2.1666666666666665","1.9129464596656132","100.6354621294005"
"4","3","1.5","3","1","300","5","7","263","2.02","1.8691294260072888","107.57539816307484"
"7","3","1.5","3","1","300","5","7","249","1.96","1.9781473455131857","101.43246371018896"
"1","3","1.5","3","1","300","5","6","260","1.76","1.8761951067685565","99.04008280830072"
