"BehaviorSpace results (NetLogo 6.2.0)"
"Flocking.nlogo"
"Baseline2"
"05/02/2021 08:19:17:674 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","count turtles with [any? flockmates]","mean [count flockmates] of turtles","mean [min [distance myself] of other turtles] of turtles","standard-deviation [heading] of turtles"
"4","3","1.5","3","1","300","5","0","0","0","2.0873415931166006","104.33667761887014"
"3","3","1.5","3","1","300","5","0","0","0","2.0123070174729514","107.10877055170121"
"2","3","1.5","3","1","300","5","0","0","0","2.055905155284639","102.11939560510237"
"8","3","1.5","3","1","300","5","0","0","0","2.110513569094584","104.4528132197531"
"4","3","1.5","3","1","300","5","1","231","0.77","2.1484431462041576","104.18885571430891"
"7","3","1.5","3","1","300","5","0","0","0","2.0702625359044204","100.42814677388513"
"6","3","1.5","3","1","300","5","0","0","0","2.0155211772508546","100.10778472163346"
"2","3","1.5","3","1","300","5","1","244","0.8133333333333334","2.0990870608231","101.99036561663777"
"1","3","1.5","3","1","300","5","0","0","0","2.1312710849191907","108.77049462824121"
"5","3","1.5","3","1","300","5","0","0","0","2.05178545816981","107.39648792548617"
"3","3","1.5","3","1","300","5","1","249","0.83","1.925942231848271","107.6673572162587"
"4","3","1.5","3","1","300","5","2","242","0.8066666666666666","2.1146905302839","103.41883196805307"
"8","3","1.5","3","1","300","5","1","236","0.7866666666666666","2.0341548606643443","104.36338543385905"
"4","3","1.5","3","1","300","5","3","238","0.7933333333333333","2.040212400308528","103.2345264834018"
"6","3","1.5","3","1","300","5","1","248","0.8266666666666667","1.9798178441275867","99.55137089644202"
"7","3","1.5","3","1","300","5","1","250","0.8333333333333334","2.088722806995697","100.33480273337125"
"4","3","1.5","3","1","300","5","4","241","0.8033333333333333","2.027264346433422","103.24479536410315"
"1","3","1.5","3","1","300","5","1","237","0.79","2.106942220231468","109.05028374166633"
"5","3","1.5","3","1","300","5","1","244","0.8133333333333334","2.022769835576799","108.20125243531984"
"8","3","1.5","3","1","300","5","2","243","0.81","1.9730889263217213","103.85022862138656"
"2","3","1.5","3","1","300","5","2","241","0.8033333333333333","2.0855307545522836","101.96538077688916"
"3","3","1.5","3","1","300","5","2","251","0.8366666666666667","1.919976411712059","107.7123468941812"
"4","3","1.5","3","1","300","5","5","249","0.83","2.020684014842556","103.2946509013049"
"6","3","1.5","3","1","300","5","2","255","0.85","1.9653108986876444","99.1225965750753"
"7","3","1.5","3","1","300","5","2","237","0.79","2.1053640252069825","100.19917232070914"
"1","3","1.5","3","1","300","5","2","235","0.7833333333333333","2.0039426919151384","109.00126626218383"
"5","3","1.5","3","1","300","5","2","243","0.81","2.0975545138009997","108.0303819494947"
"8","3","1.5","3","1","300","5","3","241","0.8033333333333333","2.0029929332101992","103.7929655619377"
"4","3","1.5","3","1","300","5","6","258","0.86","2.0069829819657796","102.98461044119969"
"3","3","1.5","3","1","300","5","3","254","0.8466666666666667","1.9590325579089067","107.70889305080291"
"2","3","1.5","3","1","300","5","3","246","0.82","2.039127599144604","101.7969181594609"
"7","3","1.5","3","1","300","5","3","245","0.8166666666666667","2.0659025214665006","100.4867212073022"
"6","3","1.5","3","1","300","5","3","254","0.8466666666666667","1.9665442552360881","98.21329341840146"
"1","3","1.5","3","1","300","5","3","251","0.8366666666666667","1.9252105108421615","109.63878927245318"
"5","3","1.5","3","1","300","5","3","238","0.7933333333333333","2.080846809860176","107.95895591585683"
"4","3","1.5","3","1","300","5","7","259","0.8633333333333333","1.9601000050659707","103.23346626486587"
"8","3","1.5","3","1","300","5","4","250","0.8333333333333334","1.9699213499708987","103.44214749390784"
"7","3","1.5","3","1","300","5","4","246","0.82","1.966014230071559","100.41748260989613"
"2","3","1.5","3","1","300","5","4","250","0.8333333333333334","2.058545672396262","101.03264633664058"
"3","3","1.5","3","1","300","5","4","247","0.8233333333333334","1.9756898336954123","107.96714291905901"
"4","3","1.5","3","1","300","5","8","260","0.8666666666666667","1.9477129185706479","103.57974801077552"
"8","3","1.5","3","1","300","5","5","258","0.86","1.945946091013099","103.11544103897272"
"6","3","1.5","3","1","300","5","4","259","0.8633333333333333","1.8982809748632947","98.06802710970088"
"2","3","1.5","3","1","300","5","5","252","0.84","2.0639301566103136","100.83454849033103"
"1","3","1.5","3","1","300","5","4","256","0.8533333333333334","1.9140009348018499","110.04481408414519"
"5","3","1.5","3","1","300","5","4","244","0.8133333333333334","2.0128937772225624","107.86319279885241"
"7","3","1.5","3","1","300","5","5","258","0.86","1.9447624888343928","100.09097727054055"
"4","3","1.5","3","1","300","5","9","259","0.8633333333333333","1.9368081135013893","103.75357541433007"
"3","3","1.5","3","1","300","5","5","251","0.8366666666666667","1.9594699550919725","107.40761415554869"
"6","3","1.5","3","1","300","5","5","259","0.8633333333333333","1.9634724625119524","98.12526581155763"
"1","3","1.5","3","1","300","5","5","252","0.84","1.9658214246073122","110.09247158126739"
"5","3","1.5","3","1","300","5","5","248","0.8266666666666667","1.9466490450427978","108.14069168121897"
"4","3","1.5","3","1","300","5","10","257","0.8566666666666667","1.927211165924789","103.84747583426568"
"8","3","1.5","3","1","300","5","6","252","0.84","1.9401187900464425","103.10976383888433"
"2","3","1.5","3","1","300","5","6","249","0.83","1.967145540741476","100.80693087801244"
"3","3","1.5","3","1","300","5","6","253","0.8433333333333334","1.97343705807484","107.18461482214931"
"7","3","1.5","3","1","300","5","6","252","0.84","1.9702565807365053","100.3476939359212"
"6","3","1.5","3","1","300","5","6","259","0.8633333333333333","1.9137553528995939","97.8724288619495"
"1","3","1.5","3","1","300","5","6","247","0.8233333333333334","2.0363000495237107","109.96773716838278"
"4","3","1.5","3","1","300","5","11","260","0.8666666666666667","1.8710766482094152","103.88120839415323"
"5","3","1.5","3","1","300","5","6","255","0.85","1.9161793700392684","108.8016979259603"
"8","3","1.5","3","1","300","5","7","248","0.8266666666666667","1.9233860378574077","103.70212369207519"
"3","3","1.5","3","1","300","5","7","253","0.8433333333333334","1.9651405644225024","106.96127031941424"
"7","3","1.5","3","1","300","5","7","253","0.8433333333333334","2.0246636298596483","100.15364471206333"
