"BehaviorSpace results (NetLogo 6.2.0)"
"Simple Birth Rates.nlogo"
"Blue_fertility_effect_on_red_extinction"
"05/01/2021 07:42:01:488 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"7","1000","2","2.1","101","101"
"3","1000","2","2.1","115","115"
"2","1000","2","2.1","113","113"
"4","1000","2","2.1","154","154"
"8","1000","2","2.1","162","162"
"1","1000","2","2.1","133","133"
"5","1000","2","2.1","183","183"
"6","1000","2","2.1","194","194"
"10","1000","2","2.1","132","132"
"11","1000","2","2.1","153","153"
"13","1000","2","2.1","120","120"
"12","1000","2","2.1","151","151"
"9","1000","2","2.1","213","213"
"16","1000","2","2.1","117","117"
"17","1000","2","2.1","108","108"
"15","1000","2","2.1","174","174"
"14","1000","2","2.1","173","173"
"18","1000","2","2.1","133","133"
"20","1000","2","2.1","112","112"
"19","1000","2","2.1","178","178"
"21","1000","2","2.1","148","148"
"23","1000","2","2.1","124","124"
"24","1000","2","2.1","133","133"
"27","1000","2","2.1","97","97"
"25","1000","2","2.1","148","148"
"26","1000","2","2.1","128","128"
"22","1000","2","2.1","227","227"
"29","1000","2","2.1","88","88"
"31","1000","2","2.1","116","116"
"32","1000","2","2.1","106","106"
"28","1000","2","2.1","156","156"
"34","1000","2","2.1","105","105"
"35","1000","2","2.1","121","121"
"37","1000","2","2.1","90","90"
"33","1000","2","2.1","171","171"
"30","1000","2","2.1","236","236"
"36","1000","2","2.1","181","181"
"38","1000","2","2.1","126","126"
"39","1000","2","2.1","156","156"
"41","1000","2","2.1","119","119"
"40","1000","2","2.1","169","169"
"44","1000","2","2.1","133","133"
"42","1000","2","2.1","145","145"
"43","1000","2","2.1","129","129"
"45","1000","2","2.1","155","155"
"47","1000","2","2.1","125","125"
"50","1000","2","2.1","93","93"
"49","1000","2","2.1","150","150"
"46","1000","2","2.1","209","209"
"48","1000","2","2.1","182","182"
"52","1000","2","2.1","140","140"
"54","1000","2","2.1","101","101"
"51","1000","2","2.1","179","179"
"53","1000","2","2.1","147","147"
"57","1000","2","2.1","127","127"
"59","1000","2","2.1","117","117"
"61","1000","2","2.1","97","97"
"58","1000","2","2.1","170","170"
"55","1000","2","2.1","229","229"
"56","1000","2","2.1","233","233"
"63","1000","2","2.1","115","115"
