"BehaviorSpace results (NetLogo 6.2.0)"
"business-investor-model-senseRange.nlogo"
"experiment"
"06/19/2021 09:16:33:852 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","sensing-radius","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","ticks"
"6","0","0","0","0","0"
"7","0","0","0","0","0"
"4","0","0","0","0","0"
"3","0","0","0","0","0"
"2","0","0","0","0","0"
"4","0","1","4961.859199999999","5463.276215278948","1"
"2","0","1","4115.6244","3405.7182547091293","1"
"6","0","1","6678.874800000001","7108.289128744999","1"
"7","0","1","4693.058","3840.974069996221","1"
"3","0","1","5204.356000000001","5750.6037996703735","1"
"4","0","2","8310.457999999999","9759.872319901697","2"
"6","0","2","13613.6416","14022.37453559836","2"
"7","0","2","9382.708799999999","7686.262979814661","2"
"2","0","2","7895.036000000001","7042.621538137154","2"
"8","0","0","0","0","0"
"2","0","3","10962.201600000002","10742.470388696556","3"
"7","0","3","12657.3668","11595.39758827208","3"
"6","0","3","16971.908","17688.35771539362","3"
"4","0","3","13157.256000000001","14290.793087839807","3"
"3","0","2","10447.5432","11466.186172504033","2"
"5","0","0","0","0","0"
"4","0","4","18505.734","19170.508027775806","4"
"3","0","3","15419.982000000004","17403.902492585537","3"
"6","0","4","23906.674800000004","22960.236011182664","4"
"2","0","4","15217.889200000001","13825.684637478149","4"
"7","0","4","17188.2168","15214.964840928464","4"
"8","0","1","4474.901200000001","2994.116190368648","1"
"6","0","5","28668.953599999997","29162.285448831266","5"
"4","0","5","23030.254000000004","24578.714513337723","5"
"3","0","4","20663.169200000004","23112.710986787468","4"
"2","0","5","19126.053200000002","17306.166096677487","5"
"7","0","5","19788.0908","18581.13709224647","5"
"3","0","5","25397.608399999997","29177.377031327243","5"
"6","0","6","32265.70560000001","34842.76154887148","6"
"8","0","2","8520.268800000002","6265.36158160905","2"
"4","0","6","28057.373600000003","29835.488231384767","6"
"2","0","6","22480.543200000004","21016.506856916407","6"
"7","0","6","18885.0256","17757.965598880568","6"
"3","0","6","29914.411600000003","35383.69082935829","6"
"6","0","7","39200.4724","39686.92857928143","7"
"8","0","3","12128.941599999998","9820.410047362533","3"
"4","0","7","31083.207599999998","35556.372432561024","7"
"5","0","1","5026.9472","5696.3037595345695","1"
"2","0","7","24378.095999999998","23779.01841953181","7"
"7","0","7","23578.083599999998","19844.63462688422","7"
"3","0","7","27622.1044","38375.64613388723","7"
"6","0","8","42228.8368","46826.959980510765","8"
"8","0","4","15286.0748","12602.031488640738","4"
"5","0","2","10248.734400000001","11451.690431839483","2"
"2","0","8","27491.88120000001","27534.63055650455","8"
"4","0","8","35886.0792","40898.87016572798","8"
"7","0","8","28271.141600000003","22400.44348558317","8"
"6","0","9","41726.608400000005","48835.12728468665","9"
"3","0","8","27233.547599999998","37145.37436149377","8"
"8","0","5","19065.271999999997","15676.916426169668","5"
"2","0","9","30806.100399999996","31094.619520392567","9"
"5","0","3","15542.955999999998","17534.865107593498","3"
"4","0","9","41427.2452","45822.7849533441","9"
"6","0","10","46299.29079999999","54745.15762722062","10"
"3","0","9","30934.977199999998","41781.6216702876","9"
"7","0","9","32851.1452","25429.791085158715","9"
"5","0","4","20012.947200000002","24099.028319121866","4"
"2","0","10","34959.7576","34197.901719144174","10"
"8","0","6","21865.8756","18670.854658519715","6"
"4","0","10","45126.08720000001","51674.261063161044","10"
"3","0","10","34189.1368","46512.22042495693","10"
"7","0","10","37544.2032","28541.126108558932","10"
"1","0","0","0","0","0"
"2","0","11","37905.323200000006","38051.36185320043","11"
"5","0","5","24378.902799999996","30777.787438213527","5"
"6","0","11","48205.74640000002","58508.23007316648","11"
"8","0","7","24179.7844","21039.551221528007","7"
"6","0","12","43998.561200000004","44095.11376935925","12"
"5","0","6","29698.373199999998","36864.850454994805","6"
"2","0","12","42161.010800000004","41122.16115044031","12"
"7","0","11","38384.553199999995","33792.332091038385","11"
"4","0","11","38717.43200000001","46963.49213188768","11"
"3","0","11","31158.498400000004","43007.73409729441","11"
"6","0","13","45696.685999999994","46150.6531122782","13"
"7","0","12","42734.2768","37093.52356233999","12"
"5","0","7","35361.79639999999","42722.77775870227","7"
"2","0","13","46416.6984","44225.953810651794","13"
"8","0","8","27241.223200000004","24401.188779998633","8"
"5","0","8","33507.0148","38405.8142448662","8"
"4","0","12","42028.3228","51373.79864418945","12"
"7","0","13","46429.3768","41064.59540866689","13"
"2","0","14","49734.54439999999","48224.45382418742","14"
"6","0","14","50805.348399999995","51635.313346191004","14"
"3","0","12","35590.437600000005","46791.82729631383","12"
"1","0","1","3992.4563999999996","3266.060485947201","1"
"4","0","13","47569.48880000001","55021.175372965066","13"
"5","0","9","36870.285200000006","43930.51850143721","9"
"8","0","9","29747.6264","27353.613916004295","9"
"7","0","14","51122.434799999995","44275.427655177526","14"
"2","0","15","47422.992","46986.87912208906","15"
"6","0","15","57740.11519999999","56111.73718624681","15"
"3","0","13","38693.609599999996","51624.77020956206","13"
"4","0","14","53110.654800000004","58911.25538038495","14"
"8","0","10","33153.010800000004","30578.275517273276","10"
"7","0","15","54558.59400000001","48668.525422209044","15"
"5","0","10","42533.70840000001","48438.78935000308","10"
"1","0","2","7312.6216","5690.122047873607","2"
"6","0","16","58883.80760000001","62980.082818554845","16"
"2","0","16","50235.008799999996","50751.24437490526","16"
"3","0","14","43859.1344","55426.64481495444","14"
"4","0","15","54759.6808","65497.261032937036","15"
"7","0","16","54120.936799999996","53067.35818643231","16"
"5","0","11","48100.6476","53329.143358124405","11"
"1","0","3","10700.071600000001","8825.822743511735","3"
"8","0","11","29482.1876","30966.364429257792","11"
"6","0","17","65818.5744","67633.12337214281","17"
"2","0","17","54490.69640000001","53351.977167727804","17"
"3","0","15","38439.672399999996","41313.852586922774","15"
"4","0","16","56573.14479999999","70381.67664567819","16"
"7","0","17","51226.643200000006","50117.616795183814","17"
"5","0","12","53187.18759999999","58826.532345529275","12"
"1","0","4","13258.157600000002","11160.24096552776","4"
"8","0","12","33141.3804","33548.51871951819","12"
"6","0","18","58989.1132","72414.23823701216","18"
"3","0","16","41693.831999999995","45325.3666660668","16"
"2","0","18","58537.1688","56243.88866242198","18"
"4","0","17","62114.31080000001","74549.95889314578","17"
"7","0","18","55919.70120000001","52575.49305511143","18"
"5","0","13","43279.49680000001","57144.08038257519","13"
"6","0","19","65923.88","77644.80603337166","19"
"1","0","5","15874.945599999995","13138.625001474686","5"
"2","0","19","59847.44320000001","61071.349728110355","19"
"8","0","13","37604.6112","35574.03074605832","13"
"4","0","18","66981.06880000001","79370.61746967635","18"
"7","0","19","52826.827600000004","52037.89313099833","19"
"3","0","17","45515.356400000004","49481.79315055622","17"
"5","0","14","48942.92","61449.834843981895","14"
"6","0","20","72716.3084","83257.88270609464","20"
"1","0","6","20131.111599999997","15512.307043505189","6"
"3","0","18","41479.1416","47353.6606745184","18"
"7","0","20","53897.986800000006","54434.37893699814","20"
"4","0","19","71408.4676","84586.47806825492","19"
"8","0","14","41642.068400000004","38155.03532429247","14"
"5","0","15","54606.3432","66019.22401629479","15"
"6","0","21","78327.5824","90038.63000170687","21"
"1","0","7","23993.163600000003","18570.9822595797","7"
"3","0","19","45693.544","51323.44834715505","19"
"4","0","20","70315.9816","91213.47738343765","20"
"8","0","15","46093.628800000006","40400.342601561184","15"
"7","0","21","58591.044799999996","55933.20831552718","21"
"5","0","16","60269.766400000015","70801.22269320923","16"
"6","0","22","84728.17","96367.5665433707","22"
"3","0","20","44336.022399999994","55307.6037133303","20"
"1","0","8","27265.702800000003","22085.359120115736","8"
"8","0","16","46993.7848","44387.164496123216","16"
"5","0","17","65933.1896","75755.57925177345","17"
"7","0","22","63284.10279999999","57649.38974778815","22"
"4","0","21","75621.15079999999","95842.32583051478","21"
"6","0","23","82996.08720000001","102228.91147193758","23"
"1","0","9","30387.00120000001","25513.811842375413","9"
"3","0","21","49579.20959999999","58508.000709675856","21"
"7","0","23","59955.35040000001","59338.177166167276","23"
"5","0","18","70348.97519999999","81735.9231365809","18"
"8","0","17","48381.46399999999","47327.86161528975","17"
